"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"1","Birkenhead",2009,1173,2007,"SR_cov_resid",0.917485094090912,4,4,5,5,5,"richness"
"2","Birkenhead",2010,1174,2008,"SR_cov_resid",0.60174399453012,2,2,6.5,6.5,6.5,"richness"
"3","Birkenhead",2011,1175,2009,"SR_cov_resid",0.502719917245887,6,5,4.2,4,3.5,"richness"
"4","Birkenhead",2012,1176,2010,"SR_cov_resid",-2.43674110496128,1,1,5,5,5,"richness"
"5","Birkenhead",2013,1177,2011,"SR_cov_resid",-0.493983139331974,23,23,5.69565217391304,6,5.69565217391304,"richness"
"6","Birkenhead",2014,1178,2012,"SR_cov_resid",0.571525377256349,4,4,6,6,6,"richness"
"7","Birkenhead",2015,1179,2013,"SR_cov_resid",-0.754015824843491,17,17,5.23529411764706,5,5.23529411764706,"richness"
"8","Birkenhead",2018,1182,2016,"SR_cov_resid",-1.88941454436261,4,4,4,4.5,4,"richness"
"9","Bowron",2013,1244,2011,"SR_cov_resid",-0.412927508335944,7,7,6.14285714285714,6,6.14285714285714,"richness"
"10","Bowron",2014,1245,2012,"SR_cov_resid",0.191831754320866,1,1,4,4,4,"richness"
"11","Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,7,7,7.14285714285714,8,7.14285714285714,"richness"
"12","Chilko",2009,1307,2007,"SR_cov_resid",-0.164515041914484,26,26,4.23076923076923,4,4.23076923076923,"richness"
"13","Chilko",2010,1308,2008,"SR_cov_resid",-0.261094571360216,62,60,3.61666666666667,3,3.5,"richness"
"14","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,75,75,4.48,5,4.48,"richness"
"15","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,31,31,4.83870967741935,5,4.83870967741935,"richness"
"16","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,514,514,5.91439688715953,6,5.91439688715953,"richness"
"17","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,51,50,5.32,5,5.2156862745098,"richness"
"18","Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,72,72,5.70833333333333,5,5.70833333333333,"richness"
"19","Chilko",2016,1314,2014,"SR_cov_resid",0.658775634082524,20,20,6.4,6.5,6.4,"richness"
"20","Chilko",2017,1315,2015,"SR_cov_resid",-1.67763415630698,15,14,6.57142857142857,7,6.13333333333333,"richness"
"21","Chilko",2018,1316,2016,"SR_cov_resid",-2.54325003204444,12,12,5.58333333333333,6,5.58333333333333,"richness"
"22","Gates",2009,1476,2007,"SR_cov_resid",2.49112938147928,1,1,1,1,1,"richness"
"23","Gates",2010,1477,2008,"SR_cov_resid",1.23089410875928,1,1,5,5,5,"richness"
"24","Gates",2011,1478,2009,"SR_cov_resid",0.452597304826378,4,4,3.75,3.5,3.75,"richness"
"25","Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,1,1,3,3,3,"richness"
"26","Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,17,16,5.5625,5.5,5.23529411764706,"richness"
"27","Gates",2014,1481,2012,"SR_cov_resid",-0.234160371991448,8,8,5.375,5.5,5.375,"richness"
"28","Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,5,5,5.6,5,5.6,"richness"
"29","Nadina",2010,1722,2008,"SR_cov_resid",0.402471570354663,2,2,7.5,7.5,7.5,"richness"
"30","Nadina",2011,1723,2009,"SR_cov_resid",0.162180832056564,4,4,3.5,3.5,3.5,"richness"
"31","Nadina",2012,1724,2010,"SR_cov_resid",0.901889219449451,3,3,2.66666666666667,3,2.66666666666667,"richness"
"32","Nadina",2014,1726,2012,"SR_cov_resid",-0.822405912433752,25,25,4.52,4,4.52,"richness"
"33","Nadina",2015,1727,2013,"SR_cov_resid",-1.33055173064916,10,10,6.5,7,6.5,"richness"
"34","Nadina",2018,1730,2016,"SR_cov_resid",-1.83461276026677,3,3,3,3,3,"richness"
"35","Pitt",2010,1789,2008,"SR_cov_resid",1.2312133666301,6,6,4.83333333333333,5,4.83333333333333,"richness"
"36","Pitt",2011,1790,2009,"SR_cov_resid",0.523474686406447,1,1,1,1,1,"richness"
